SALESORDERID,SALESORDERITEM,PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,OPITEMPOS,QUANTITY,QUANTITYUNIT,DELIVERYDATE
0500000057,0000000040,CC-1022,,USD,1200.00,1050.00,150.00,I,,1.000,EA,2018-05-25
0500000025,0000000090,EB-1134,,USD,4800.00,4200.00,600.00,I,,6.000,EA,2018-04-03
0500000034,0000000030,RC-1052,,USD,3999.00,3499.13,499.87,I,,3.000,EA,2018-04-27
0500000214,0000000070,BX-1014,,USD,799.00,699.12,99.87,I,,10.000,EA,2018-12-22
0500000210,0000000010,CB-1161,,USD,399.00,349.12,49.88,I,,8.000,EA,2018-12-31
0500000081,0000000020,RC-1055,,USD,1999.00,1749.13,249.87,I,,2.000,EA,2018-06-14
0500000248,0000000020,MB-1034,,USD,2499.00,2186.63,312.37,I,,10.000,EA,2019-02-23
0500000315,0000000060,RC-1053,,USD,4599.00,4024.13,574.87,I,,8.000,EA,2999-12-12
0500000261,0000000080,EB-1137,,USD,7900.00,6912.50,987.50,I,,2.000,EA,2019-03-14
0500000171,0000000050,RC-1055,,USD,1999.00,1749.13,249.87,I,,7.000,EA,2018-10-21
0500000128,0000000060,BX-1012,,USD,399.00,349.12,49.88,I,,8.000,EA,2018-08-28
0500000063,0000000040,EB-1132,,USD,1900.00,1662.50,237.50,I,,10.000,EA,2018-06-15
0500000326,0000000080,CB-1163,,USD,288.00,252.00,36.00,I,,6.000,EA,2019-07-21
0500000448,0000000010,BX-1013,,USD,449.00,392.87,56.13,I,,5.000,EA,2020-02-06
0500000093,0000000060,RC-1051,,USD,2499.00,2186.63,312.37,I,,5.000,EA,2018-06-28
0500000225,0000000040,BX-1016,,USD,319.00,279.12,39.88,I,,6.000,EA,2019-02-09
0500000070,0000000100,CC-1022,,USD,1200.00,1050.00,150.00,I,,2.000,EA,2018-05-30
0500000109,0000000010,RC-1057,,USD,4999.00,4374.13,624.87,I,,5.000,EA,2018-08-19
0500000302,0000000010,RO-1002,,USD,689.00,602.87,86.12,I,,8.000,EA,2019-06-03
0500000290,0000000050,HB-1171,,USD,699.00,611.62,87.37,I,,10.000,EA,2019-05-17
0500000269,0000000030,RC-1051,,USD,2499.00,2186.63,312.37,I,,10.000,EA,2019-04-02
0500000362,0000000090,CC-1023,,USD,1361.00,1190.88,170.12,I,,8.000,EA,2019-09-04
0500000116,0000000030,CB-1163,,USD,288.00,252.00,36.00,I,,7.000,EA,2018-07-27
0500000399,0000000030,HB-1173,,USD,649.00,567.87,81.12,I,,5.000,EA,2019-10-13
0500000326,0000000090,CC-1023,,USD,1361.00,1190.88,170.12,I,,2.000,EA,2019-07-21
0500000011,0000000050,RC-1057,,USD,4999.00,4374.13,624.87,I,,2.000,EA,2018-03-06
0500000256,0000000030,BX-1013,,USD,449.00,392.87,56.13,I,,7.000,EA,2019-03-16
0500000128,0000000070,EB-1137,,USD,7900.00,6912.50,987.50,I,,5.000,EA,2018-08-28
0500000354,0000000050,HB-1173,,USD,649.00,567.87,81.12,I,,5.000,EA,2019-08-21
0500000261,0000000090,HB-1174,,USD,379.00,331.62,47.38,I,,10.000,EA,2019-03-14
0500000205,0000000030,MB-1033,,USD,3999.00,3499.13,499.87,I,,5.000,EA,2019-01-01
0500000390,0000000020,MB-1033,,USD,3999.00,3499.13,499.87,I,,10.000,EA,2019-10-26
0500000197,0000000040,RC-1055,,USD,1999.00,1749.13,249.87,I,,5.000,EA,2018-12-07
0500000081,0000000030,HB-1172,,USD,799.00,699.12,99.87,I,,9.000,EA,2018-06-14
0500000259,0000000040,HB-1171,,USD,699.00,611.62,87.37,I,,2.000,EA,2019-03-06
0500000214,0000000080,RC-1056,,USD,2499.00,2186.63,312.37,I,,4.000,EA,2018-12-22
0500000053,0000000010,EB-1136,,USD,5000.00,4375.00,625.00,I,,10.000,EA,2018-05-16
0500000179,0000000050,BX-1011,,USD,249.00,217.87,31.12,I,,10.000,EA,2018-11-24
0500000025,0000000100,BX-1015,,USD,299.00,261.62,37.38,I,,7.000,EA,2018-04-03
0500000055,0000000020,RO-1003,,USD,721.00,630.87,90.12,I,,1.000,EA,2018-05-07
0500000225,0000000050,HB-1176,,USD,1199.00,1049.13,149.87,I,,4.000,EA,2019-02-09
0500000071,0000000010,DB-1081,,USD,1499.00,1311.63,187.37,I,,8.000,EA,2018-06-15
0500000184,0000000010,RO-1001,,USD,525.00,459.37,65.62,I,,5.000,EA,2018-11-22
0500000436,0000000030,RC-1052,,USD,3999.00,3499.13,499.87,I,,3.000,EA,2020-01-05
0500000338,0000000040,BX-1015,,USD,299.00,261.62,37.38,I,,7.000,EA,2019-08-03
0500000411,0000000030,CB-1161,,USD,399.00,349.12,49.88,I,,9.000,EA,2019-11-25
0500000269,0000000040,RC-1052,,USD,3999.00,3499.13,499.87,I,,3.000,EA,2019-04-02
0500000295,0000000070,BX-1011,,USD,249.00,217.87,31.12,I,,9.000,EA,2019-05-30
0500000116,0000000040,CC-1022,,USD,1200.00,1050.00,150.00,I,,8.000,EA,2018-07-27
0500000042,0000000020,HB-1171,,USD,699.00,611.62,87.37,I,,3.000,EA,2018-05-12
0500000344,0000000100,CB-1163,,USD,288.00,252.00,36.00,I,,8.000,EA,2019-07-14
0500000459,0000000090,MB-1034,,USD,2499.00,2186.63,312.37,I,,10.000,EA,2020-02-21
0500000129,0000000010,HB-1173,,USD,649.00,567.87,81.12,I,,8.000,EA,2018-08-18
0500000350,0000000080,BX-1011,,USD,249.00,217.87,31.12,I,,9.000,EA,2019-08-05
0500000214,0000000090,BX-1013,,USD,449.00,392.87,56.13,I,,8.000,EA,2018-12-22
0500000238,0000000010,EB-1135,,USD,3000.00,2625.00,375.00,I,,6.000,EA,2019-02-13
0500000160,0000000020,HB-1171,,USD,699.00,611.62,87.37,I,,5.000,EA,2018-10-20
0500000034,0000000040,BX-1014,,USD,799.00,699.12,99.87,I,,5.000,EA,2018-04-27
0500000105,0000000030,RO-1003,,USD,721.00,630.87,90.12,I,,6.000,EA,2018-08-07
